"Date"	"Price..Open."	"Price..High."	"Price..Low."	"Price..Close."	"Real.Volume"	"Circulating.Marketcap"	"Marketcap.Dominance"
"1584"	2010-08-25	0.06635	0.0665	0.0641	0.0648	277.82356	253480.2225	100
"1583"	2010-08-26	0.0648	0.0658	0.064	0.064	251.692628	248239.08	100
"1582"	2010-08-27	0.064	0.065	0.063	0.065	583.700003	245721.6	100
"1581"	2010-08-28	0.065	0.065	0.0641	0.0646	399.1233536	250113.5	100
"1580"	2010-08-29	0.0647	0.0648	0.064	0.064	204.8504737	249483.2	100
"1579"	2010-08-30	0.0646	0.069	0.03211	0.06497	2118.85838734	249578.87	100
"1578"	2010-08-31	0.06411	0.0649	0.06	0.06	931.70426132	248275.5915	100
"1577"	2010-09-01	0.062	0.0629	0.05961	0.0629	435.3731284	240591	100
"1576"	2010-09-02	0.061	0.0634	0.0601	0.0634	499.5725728	237186.3	100
"1575"	2010-09-03	0.061	0.063	0.06085	0.06085	54.61025	237686.5	100
"1574"	2010-09-04	0.06125	0.06238	0.0612	0.06238	202.28843	239214.9375	100
"1573"	2010-09-05	0.06245	0.064	0.0605	0.0616	530.20875821	244416.81	100
"1572"	2010-09-06	0.0627	0.0627	0.0616	0.0616	56.078	245890.59	100
"1571"	2010-09-07	0.0616	0.06201	0.0603	0.061	211.77020074	242069.52	100
"1570"	2010-09-08	0.061	0.062	0.06099	0.062	144.176855	240214.95	100
"1569"	2010-09-09	0.0611	0.0624	0.06109	0.06111	107.68254512	241021.17	100
"1568"	2010-09-10	0.061	0.0618	0.06014	0.0618	301.717808	241166.55	100
"1567"	2010-09-11	0.0619	0.065	0.0619	0.06366	493.003456	245219.945	100
"1566"	2010-09-12	0.0621	0.0621	0.0615	0.0615	48.93824562	246561.84	100
"1565"	2010-09-13	0.062	0.064	0.0607	0.06218	638.21676036	246694.9	100
"1564"	2010-09-14	0.062	0.175	0.061	0.06199	865.55704164	247324.2	100
"1563"	2010-09-15	0.0625	0.0625	0.0604	0.0604	223.86188656	249846.875	100
"1562"	2010-09-16	0.0618	0.0619	0.0618	0.0619	45.187	247725.3	100
"1561"	2010-09-17	0.06089	0.0609	0.059	0.05938	438.5016867	244710.821	100
"1560"	2010-09-18	0.059	0.061	0.05761	0.061	427.90230352	237814.25	100
